Topic,Count,Name,Representation,Representative_Docs,TopTerms
0,275,0_movie_watching_girl_sad,"['movie', 'watching', 'girl', 'sad', 'season', 'watch', 'love', 'seen', 'going', 'missed']","['watching the original sabrina the teenage witch movie. so different from the series but so rad', 'watching a gossip girl', ""is watching 'Wall Street', and realizing that since it is on a movie channel she won`t get a potty break""]","movie, watching, girl, sad, season, watch, love, seen"
1,212,1_lunch_eat_dinner_food,"['lunch', 'eat', 'dinner', 'food', 'eating', 'ate', 'sounds', 'im', 'breakfast', 'enjoy']","['I forgot about it and I already ate lunch  so I guess I`m not going.', 'ninja sushi for lunch but dominicks was out of sour gummy worms', 'yum - mother`s day lunch at The Food Business in Burnside was delicious! such a gorgeous day']","lunch, eat, dinner, food, eating, ate, sounds, im"
2,180,2_twitter_tweet_world_sending,"['twitter', 'tweet', 'world', 'sending', 'goodnight', 'bit', 'phone', 'change', 'follow', 'sorry']","['Twitter criado.', 'still a newbie in twitter!', '_ that`s why twitter rocks!']","twitter, tweet, world, sending, goodnight, bit, phone, change"
3,179,3_mothers_mothers day_happy mothers_happy,"['mothers', 'mothers day', 'happy mothers', 'happy', 'day', 'mom', 'mommy', 'baby', 'card', 'family']","['Happy Mothers Day to all the Mommies!', 'ay uuuu  happy mothers day', 'HAPPY MOTHERS DAY TO ALL THE MOMS OUT THERE !!!']","mothers, mothers day, happy mothers, happy, day, mom, mommy, baby"
4,153,4_sun_hot_weather_today,"['sun', 'hot', 'weather', 'today', 'gonna', 'outside', 'got', 'yr', 'warm', 'wish']","['Where is the sun!!', 'sun - where are you?', 'it was actually so hot today ..the sun has got his hat on . every one has got a tan except me']","sun, hot, weather, today, gonna, outside, got, yr"
5,153,5_school_bored_english_final,"['school', 'bored', 'english', 'final', 'summer', 'week', 'college', 'finished', 'ouch', 'life']","['no school today! that`s greeeeeat!', 'its all over! no more high school', 'here again in school bored wanting  2 go home']","school, bored, english, final, summer, week, college, finished"
6,124,6_song_listening_music_singing,"['song', 'listening', 'music', 'singing', 'love', 'check', 'rock', 'new', 'good', 'listen']","['why don`t you have that song you gave me that song', ""I`m exhausted  new song 'one day' on myspace check out http://www.myspace.com/tannajoy"", 'i love that song']","song, listening, music, singing, love, check, rock, new"
7,116,7_sleep_bed_tired_going bed,"['sleep', 'bed', 'tired', 'going bed', 'early', 'woke', 'goodnight', 'hours', 'night', 'sleepy']","['I can`t sleep... And now????', 'i can`t sleep.  amp.', 'nomatter how much i sleep am still tired']","sleep, bed, tired, going bed, early, woke, goodnight, hours"
8,111,8_sucks_know_sorry_yes,"['sucks', 'know', 'sorry', 'yes', 'ok', 'thats', 'yeah', 'suppose', 'oh', 'knew']","['no way! **** that sucks B!  are you ok?', 'Oh noooooo!!!      I`m so sorry!!  That sucks hard!', 'i know. it sucks']","sucks, know, sorry, yes, ok, thats, yeah, suppose"
9,89,9_live_come_looking forward_uk,"['live', 'come', 'looking forward', 'uk', 'seeing', 'coming', 'soon', 'forward', 'san', 'ya']","['Looking forward to your gig in Ireland!!!  See ya there!', 'cool. looking forward. san francisco was really nice. didn`t make it out to napa though  maybe next time.', 'looking forward to seeing the relatives... maybe home from Toronto soon']","live, come, looking forward, uk, seeing, coming, soon, forward"
10,83,10_computer_slow_laptop_screen,"['computer', 'slow', 'laptop', 'screen', 'using', 'google', 'site', 'running', 'old', 'light']","['Why did sound input for my computer stop working?  It`s not the mic or jack (USB webcam mic doesn`t work either) Checked input controls.', 'took my computer in for a new dvd drive & screen wouldn`t come back on  Had to order new computer & wait...', 'UGGG my computer is running SOOO SLOW today, it`s driving me batty! Guess its time to remove files and defrag AGAIN UGG want a MAC']","computer, slow, laptop, screen, using, google, site, running"
11,67,11_sick_feeling_feels_feel,"['sick', 'feeling', 'feels', 'feel', 'cold', 'kids', 'feels like', 'past', 'maybe', 'think im']","['I feel sick. And I have a solo tonight at my vocal jazz concert.  great', 'feels very very sick  hmph.', 'nooo i cant be sick...not now! im about to go see my new nephew']","sick, feeling, feels, feel, cold, kids, feels like, past"
12,63,12_dog_poor_years_scared,"['dog', 'poor', 'years', 'scared', 'died', 'ago', 'old', 'year old', 'ran', 'dead']","['My dog died today. We had her for 11 years. I miss her so much.', 'have to put my dog down tomorrow.', 'http://twitpic.com/41dbn - :o I See Your Dog..  Bella..?']","dog, poor, years, scared, died, ago, old, year old"
13,56,13_happy_congrats_old_nite,"['happy', 'congrats', 'old', 'nite', 'tell', 'david', 'thank', 'today', 'took', 'yay']","['Happy Birthday, David', 'HAPPY JUDDDAY', 'happy birthday']","happy, congrats, old, nite, tell, david, thank, today"
14,56,14_pic_pictures_help_picture,"['pic', 'pictures', 'help', 'picture', 'hey', 'pics', 'screen', 'kind', 'love', 'look']","['Still no pic, very sad', 'Fab new pic by the way', 'http://twitpic.com/4we4j - Speed lessons on the main screens on center court! I had to take this pic']","pic, pictures, help, picture, hey, pics, screen, kind"
15,51,15_follow_following_people_thank,"['follow', 'following', 'people', 'thank', 'lot', 'darn', 'hates', 'friday', 'thanks', 'needs']","['i follow him now', 'Follow me please, so I can DM you...', 'can you follow me so I can DM you?']","follow, following, people, thank, lot, darn, hates, friday"
16,49,16_phone_iphone_new_huh,"['phone', 'iphone', 'new', 'huh', 'die', 'lost', 'screen', 'app', 'guess', 'google']","['Lost a battle with the couch....phone has been blowing up', 'Almost lost my phone.', 'My phone is so stubborn!! You`d think it had my genes or something!!']","phone, iphone, new, huh, die, lost, screen, app"
17,48,17_book_read_reading_finished,"['book', 'read', 'reading', 'finished', 'just finished', 'words', 'special', 'write', 'run', 'need']","['MIT bookstore has best book selection, but it`s the one bookstore I have no coupons or discounts for', 'wellity! i think ima gonna clean my room :| ****. i need to read a good book. sense and sensibility here we come! BEAT THE LILY', 'Lol read me like a book']","book, read, reading, finished, just finished, words, special, write"
18,47,18_special_hehe_makes_eating,"['special', 'hehe', 'makes', 'eating', 'talk', 'say', 'gunna', 'mr', 'holy', 'angry']","['I just wanted to say, that you have the best screen name ever. That is all.', 'Halla Miss Haloom  .. how are you dear? am doing fine so far but .. eeem worrying about rationale project.. Allah eyaseer inshallah', 'lol you saw where I was going with that...both of my last names are to common nothing special on me']","special, hehe, makes, eating, talk, say, gunna, mr"
19,47,19_work_busy_work today_minutes,"['work', 'busy', 'work today', 'minutes', 'half', 'hours', 'working', 'slow', 'long', 'today']","['Back to work I go....', 'Work out. Now actual work', 'back to work.. with no distractions..']","work, busy, work today, minutes, half, hours, working, slow"
